LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7033,SCr430(H),34Cr4,5132,530A32,18B,32C4,34Cr4(KB),G51300,35C,35Cr,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7035,SCr440(H),41Cr4,5140,530M40,18,42C4,2245,41Cr4,G51400,40H,40Cr,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7131,SCR 415,16MnCr5,5115,527M17,16MC5,2511,16MnCr5,G51150,12KHN2,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7139,16MnCrS5,2127,18HG,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7176,SUP9(A),55Cr3,5155,527A60,48,55C3,2253,55Cr3,50C GA,20CrMn,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7218,SCM420,25CrMo4,4130,CDS110,25CD4,2225,25CrMo4(KB),20C M,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.722,SCM432,34CrMo4,4135,708 A 37,35CD4,2234,34CrMo4,35C M,35CrMo,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7223,SNB22-1,41CrMo4,4142,41CrMo4,40C FA,40CrMoA,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7225,SCM 440 (H),42CrMo4,4140,708 M 40,42 CrMo 4,42 CD 4,2244,42 CrMo 4,F.1252,38HM,"42CrMo, 42CrMnMo",,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7228,55NiCrMoV6G,823M30,33,2512,653M31,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7262,SCM415(H),15CrMo5,12CD4,2216,12CrMo4,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7321,20mOcR4,2625,,,,,,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7335,SCM415(H),13CrMo4-4,A182-F11,1501-620,15CD4-5,2216,14CrMo45,12C M,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.7361,32CrMo12,722M24,40B,30CD12,2240,30CrMo12,F.124A,,,,,,
P,Alloy Steels,6,180,10,Low-alloyed Steel,Annealed,1.738,10CrMo9-10,A182F22,1501-622,12CD9-10,2218,12CrMo9,12KH8,,,,,,
